Week,Headline,ARTS%,CVE%,LULU%,NFLX%,RBC%,MCD%,GME%,ImageURL
1,Hormuz Jitters: Persian Gulf tensions rise.,-1.5,4,-0.5,0.2,1.5,0,-0.5,https://raw.githubusercontent.com/[USER]/HFX-stocks/main/hormuz_landscape_news.png
2,NFLX Blockbuster: Streaming records broken.,0,0,0,8,0,0,0,https://raw.githubusercontent.com/[USER]/HFX-stocks/main/nflx_holiday_livingroom.png
3,SUPER PUFF VIRAL: Artisia coat goes viral on TikTok.,15,0,-1,0,0,0,-8,https://raw.githubusercontent.com/[USER]/HFX-stocks/main/artisia_landscape_ad.png
4,STRAIT BLOCKADE: Complete closure of Hormuz sends oil soaring.,-15,20,-3.5,0,0,0,-8,https://raw.githubusercontent.com/[USER]/HFX-stocks/main/hormuz_landscape_news.png
5,KETCHUP-GATE: McDonald's faces backlash over $0.25 sauce fee.,0,0,0,0,0,-6,0,https://raw.githubusercontent.com/[USER]/HFX-stocks/main/mcd_winter_store.png
6,Safe Haven: Investors flee to RBC sanctuary.,0,0,0,0,4.5,0,0,https://raw.githubusercontent.com/[USER]/HFX-stocks/main/rbc_winter_tower.png
7,Boxing Day Blitz: Record post-holiday digital sales.,3,0,3,1,1,1,1,https://raw.githubusercontent.com/[USER]/HFX-stocks/main/artisia_landscape_ad.png
8,GME Squeeze: Cryptic tweet sparks retail frenzy.,0,0,0,0,0,0,15,https://raw.githubusercontent.com/[USER]/HFX-stocks/main/gme_digital_grid.png
9,Wellness Surge: Lululemon New Year yoga rush.,0,0,10,0,0,0,0,https://raw.githubusercontent.com/[USER]/HFX-stocks/main/lulu_winter_studio.png
10,Grand Finale: Q4 Earnings surge.,2.5,1.5,0.1,2,1,2,0.5,https://raw.githubusercontent.com/[USER]/HFX-stocks/main/hormuz_landscape_news.png
